what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1273583411578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583420921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583423515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583423546
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1273583426859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583428656
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1273583429781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583430062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583431484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583439796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583440140
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1273583440484
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200809120802,org.eclipse.cdt.debug.mi.core,1273583440546
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1273583444093
activated,perspective,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CPerspective,1273583444156
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1273583444171
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1273583445000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583448281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583577156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583577562
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1273583579343
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273583579359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1273583582796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583604687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583604734
