what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1273576485875
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1273576485875
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1273576485875
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1273576485890
started,bundle,com.altera.sbtgui.integration,9.1.0.222,com.altera.sbtgui.integration,1273576485890
started,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1273576485890
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1273576485890
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1273576486609
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1273576487796
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1273576491734
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1273576492562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576500593
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1273576500750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576511828
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1273576511890
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1273576517296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576517453
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576521609
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1273576521687
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1273576522953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576524171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576524671
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1273576524890
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200809120802,org.eclipse.cdt.debug.mi.core,1273576524937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576534671
