what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.integration,9.1.0.222,com.altera.sbtgui.integration,1273575611343
started,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1273575611343
started,bundle,com.altera.sbtgui.ui,9.1.0.222,com.altera.sbtgui.ui,1273575611343
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1273575611343
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1273575613062
activated,view,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.internal.introview,1273575613171
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1273575613171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575623609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575624390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575624609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575627781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575627984
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575631109
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575632281
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1273575702468
started,bundle,org.eclipse.cdt.managedbuilder.core,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.core,1273575720468
started,bundle,org.eclipse.cdt.make.core,5.0.1.200809120802,org.eclipse.cdt.make.core,1273575721156
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1273575721171
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1273575721484
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200809120802,org.eclipse.cdt.managedbuilder.gnu.ui,1273575722734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575768531
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1273575789812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575791531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575793015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575799484
