what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273576241812
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1273576253406
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273576257968
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273576260609
closed,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273576260609
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576266000
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576266015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576266093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576326515
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1273576330421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576334093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576441531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576444015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576453031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576453968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576456015
started,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200809120802,org.eclipse.cdt.mylyn.ui,1273576456406
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1273576456468
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576456718
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1273576456953
stopped,bundle,com.altera.debug.cdi.gdb.plugin,9.1.0.222,com.altera.debug.cdi.gdb.plugin,1273576456968
stopped,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1273576456968
stopped,bundle,com.altera.sbtgui.ui,9.1.0.222,com.altera.sbtgui.ui,1273576456968
stopped,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1273576456968
stopped,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1273576456968
