what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.ui,1274184573812
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1274184573812
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1274184573828
started,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1274184573828
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1274184573984
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1274184574000
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1274184574328
started,bundle,com.altera.sbtgui.integration,9.1.0.222,com.altera.sbtgui.integration,1274184574640
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1274184574718
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1274184574984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274184578640
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1274184580171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274184582109
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274184605546
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1274184605593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274184611265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274184612109
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274184613312
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274184639671
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1274184640218
stopped,bundle,com.altera.debug.cdi.gdb.plugin,9.1.0.222,com.altera.debug.cdi.gdb.plugin,1274184640218
stopped,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1274184640218
stopped,bundle,com.altera.sbtgui.ui,9.1.0.222,com.altera.sbtgui.ui,1274184640250
stopped,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1274184640250
stopped,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1274184640250
