what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892298875
started,bundle,com.altera.sbtgui.flash.plugin,9.1.0.222,com.altera.sbtgui.flash.plugin,1273892303437
executed,command,com.altera.sbtgui.flash.plugin,9.1.0.222,com.altera.sbtgui.flash.plugin.commands.flashCommand,1273892303453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892303734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892523484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892527593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892529906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892529984
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892664609
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892667328
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892670593
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892670671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892680671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892681625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892681625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892681687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892695234
executed,command,com.altera.sbtgui.flash.plugin,9.1.0.222,com.altera.sbtgui.flash.plugin.commands.flashCommand,1273892698703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892698984
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892809718
executed,command,com.altera.sbtgui.flash.plugin,9.1.0.222,com.altera.sbtgui.flash.plugin.commands.flashCommand,1273892812406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892812687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273893098250
started,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200809120802,org.eclipse.cdt.mylyn.ui,1273893100203
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1273893100218
