what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579753640
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579753828
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579757734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579759296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579770328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1273579773437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579774062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579831218
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579831359
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579834421
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579931984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579937343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579948750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579950031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579950031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579950125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579958890
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1273579964531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579974812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579977875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579980625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579980625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579980718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580070046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580074843
