what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580074843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580074921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580103656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580106812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580106812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580106906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580118375
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1273580122453
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273580122718
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273580122796
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273580125640
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273580126437
closed,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273580126437
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273580129953
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273580134453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580138593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580143484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580144343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580159781
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273580159921
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273580162484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580167031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580202406
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273580202515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273580204531
