what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1273576131453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576131750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576133281
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1273576133296
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1273576138015
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273576141359
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1273576143750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576147203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576152078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576152093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576156171
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1273576156171
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1273576157078
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1273576164062
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1273576168093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576169546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576169546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576169609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576228843
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1273576229906
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildProject,1273576232109
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576232406
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273576236953
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1273576241328
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273576241734
