what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1273575800281
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1273575804218
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1273575804312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575811562
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273575835281
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1273575835546
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1273575835562
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273575835578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575835656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575837531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575838578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575851578
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1273575854281
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1273575868437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575868515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575869656
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273575870218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575879906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575896890
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1273575902046
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273575908234
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1273575917734
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1273575922453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575930000
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273575982140
