what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579373906
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579375062
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579377875
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579377890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579377953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579438281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579443343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579443343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579443421
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579445093
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1273579448968
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579450328
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579450328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579450656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579465843
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1273579472781
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579472953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579556656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579556671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579556765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579558250
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579559937
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1273579567187
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579567890
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.findNext,1273579578531
