what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579581921
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1273579581953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579587828
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579588421
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579589781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579590781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579590781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579590906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579635140
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579636703
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579639265
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579666687
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579667593
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579682343
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1273579682375
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579689484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579691906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579700312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579725078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579729250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579729296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579730656
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579732468
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579739859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579746406
