what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583604812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583606390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583612875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583616734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583619734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583620156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583623046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583857328
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583857765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273583881093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273584037046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273584039781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273584041625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273584041656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273584041718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273584073406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273584075921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273585189140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273585271687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273585271687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273585271765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273585737906
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273585884640
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273585884750
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273585887984
