what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579142296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579145734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579145765
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1273579153031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579155281
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1273579157718
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1273579161468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579161671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579172718
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579173453
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1273579174687
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1273579174859
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1273579178546
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1273579181078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579198171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579198703
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1273579199000
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200809120802,org.eclipse.cdt.debug.mi.core,1273579199015
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1273579221859
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273579236234
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1273579236468
stopped,bundle,com.altera.debug.cdi.gdb.plugin,9.1.0.222,com.altera.debug.cdi.gdb.plugin,1273579236468
stopped,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1273579237468
stopped,bundle,com.altera.sbtgui.ui,9.1.0.222,com.altera.sbtgui.ui,1273579237468
stopped,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1273579237468
