what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1273842895750
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1273842896343
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1273842896343
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1273842896609
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1273842896796
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1273842897187
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1273842897234
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1273842897437
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1273842901203
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1273842901718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273842901796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273842933546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273842935093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273842935093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273842935187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273842947656
started,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1273842952109
opened,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1273842952359
opened,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1273842952515
activated,perspective,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CPerspective,1273842952578
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1273842954703
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1273842954750
started,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200809120802,org.eclipse.cdt.mylyn.ui,1273842977234
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1273842977250
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273842977500
