what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1273590723171
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1273590723687
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1273590723687
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1273590723843
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1273590723984
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1273590724656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273590724703
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1273590725578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273590731593
started,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1273590750531
opened,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1273590750781
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1273590750859
opened,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1273590751468
activated,perspective,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CPerspective,1273590751500
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1273590753546
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1273590753562
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1273590755125
started,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200809120802,org.eclipse.cdt.mylyn.ui,1273590757234
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1273590757265
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273590757500
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1273590758046
stopped,bundle,com.altera.debug.cdi.gdb.plugin,9.1.0.222,com.altera.debug.cdi.gdb.plugin,1273590758078
stopped,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1273590758078
stopped,bundle,com.altera.sbtgui.ui,9.1.0.222,com.altera.sbtgui.ui,1273590758078
stopped,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1273590758078
